"id","title","description","availability","condition","price","link","image_link","brand","google_product_category","fb_product_category","quantity_to_sell_on_facebook","sale_price","sale_price_effective_date","item_group_id","gender","color","size","age_group","material","pattern","shipping","shipping_weight","style"
"1","Tribal Flare Choker","Sterling silver coins have been attached to this choker that has been woven delicately with Terracotta, Rudrakha and wooden beads. The colours are relfections of natural dyes of Indigo and Madder.","in stock","new","4650 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/J0400004MA1116/2.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/J0400004MA1116/2.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","3","4650 BDT","","","","","","all ages","","","","99 g",""
"2","Pansy Cotton Voil Panjabi","The mesmerizing shades of red complimenting in this panjabi were taken from organically grown madder successively. Block print has been used on cotton voil fabric to ensure the highest amount of easement. All Aranya products are hand made, using natural fibers and materials within a fair trade framework.","in stock","new","1675 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0010352FFS1202719/4_2.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0010352FFS1202719/4_2.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","0","1675 BDT","","","","Red","","all ages","","","","0 g",""
"3","Deutzia baby panjabi","Dark designs on a light base and comfortable fabric makes it a perfect traditional wear for your child .All Aranya products are handmade, using natural materials, within a fair trade framework.","in stock","new","1375 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0010372NK10194019/5_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0010372NK10194019/5_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","0","1375 BDT","","","","Black","","all ages","","","","0 g",""
"4","Chiliad Kids Panjabi","Pomegranate and myrobalan have been used to bring out the olive color on this wax-printed cotton kids panjabi. All Aranya products are handmade, using natural materials, within a fair trade framework.","in stock","new","1375 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0010373NK10194019/6_2.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0010373NK10194019/6_2.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","0","1375 BDT","","","","Olive","","all ages","","","","216 g",""
"5","Cistus Kids Panjabi","Wax-printed pure cotton kids Panjabi that has been dipped in betelnut to extract the pink shade. All Aranya products are handmade, using natural materials, within a fair trade framework.","in stock","new","1375 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0010374NK10194019/7_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0010374NK10194019/7_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","1","1375 BDT","","","","Pink","","all ages","","","","216 g",""
"6","Oboni Cotton Panjabi","The shiny blue in this Panjabi is taken from an enticing by indigo. Traditional tie-dyeing technique has been used on cotton and black kashmi print to create detailed intricacies. All Aranya products are hand made, using natural fibers and materials within a fair trade framework.","in stock","new","1675 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0010379NHS1204219/8_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0010379NHS1204219/8_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","1","1675 BDT","","","","Blue,Black","","all ages","","","","0 g",""
"7","Mantecoso Baby Cotton Fotua","Myrabalan is used to produce the buttery golden color seen in this fotua. Wax print has been used to create the beautiful spiral imprints on a cotton fabric, which secures the smoothest touch to the skin. \n \nAll Aranya products are handmade, using natural fibers and materials within a fair-trade framework.","in stock","new","565 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0020034RG11194619/9_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0020034RG11194619/9_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","0","565 BDT","","","","Golden","","all ages","","","","0 g",""
"8","Acacias baby fatua","The simple and monotone combination of this outfit make it a unique traditional wear. \n \nAll Aranya products are handmade, using natural materials, within a fair trade framework.","in stock","new","865 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0020036RG11194519/10_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0020036RG11194519/10_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","0","865 BDT","","","","Red,Gray","","all ages","","","","0 g",""
"9","Dogma kids Shirt","Handmade block-printed creates the beauty in this pure cotton kids Shirt with a rich appearance and with the application of Natural red and black come from the natural essence of madder and black kashmi. All Aranya products are handmade, using natural materials, within a fair trade framework.","in stock","new","1765 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0030067IJ02190719/12_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0030067IJ02190719/12_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","1","1765 BDT","","","","Red","","all ages","","","","216 g",""
"10","Broom baby shirt","Light designs on a dark base and comfortable fabric makes it a perfect traditional wear for your child.","in stock","new","1165 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0030072IJ03191319/13_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0030072IJ03191319/13_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","2","1165 BDT","","","","Brown","","all ages","","","","0 g",""
